ContainerID,GoodsID,Quantity
157002,1964,82
98600,2303,64
102678,22946,395
129062,5704,497
194844,31723,158
117207,49823,92
127891,19677,392
58407,29495,236
24569,14341,215
26611,17309,41
136416,30207,111
507,45630,52
117912,14366,123
52025,11188,355
97539,2268,482
84796,11824,136
85432,42271,166
39165,6741,452
124624,36382,339
561,39631,488
80660,7086,229
91561,35307,187
53852,40375,42
193566,27524,205
170103,40751,336
189493,14485,34
167338,15065,304
51153,43168,423
29472,49007,386
77518,28677,139
59772,20805,362
97128,4550,477
161791,35261,233
47809,43744,98
118711,16410,373
195993,48429,63
38721,46262,224
50947,44355,60
82144,28734,457
187637,1708,301
194220,15302,226
113627,33392,172
189016,38359,364
69683,25245,241
60260,42360,455
85448,17523,321
59416,7549,266
117420,7707,274
113820,47419,457
132166,42508,149
186457,9684,327
157316,591,449
115788,10102,425
133664,2982,284
37395,33466,183
171970,19988,104
118220,1322,304
66410,26575,191
160589,4007,36
86792,4375,278
191589,35523,333
88533,4707,414
175709,13322,35
194040,44758,177
109297,28758,223
10387,6110,212
19930,9171,388
38403,21791,261
67626,4722,403
169981,36320,154
155251,13482,346
125663,7434,30
134204,16818,79
15401,46874,227
123631,6673,382
143655,6388,53
73381,20974,202
65254,42847,310
40728,1057,444
17980,22735,300
183257,38086,37
167285,21851,362
22052,27517,128
36633,31627,247
100798,48436,72
49527,41916,288
144532,13876,369
130646,47636,427
114614,20268,341
127324,31440,267
37530,13375,315
150297,43028,426
66275,2241,418
29426,13251,425
130005,39019,319
24801,42855,368
1646,17915,284
194512,21150,212
31675,29861,62
178120,41991,119
108643,23637,304
94493,22941,35
2048,8939,281
81137,15312,309
92589,5209,189
105716,25546,240
162615,38840,159
197942,34626,34
179623,4785,436
79179,48608,187
70915,36631,498
76608,25208,490
126908,49723,225
85554,45751,69
77004,28168,164
127435,16094,195
90768,27715,309
88908,35473,303
121537,24679,398
27714,32372,211
3286,10585,68
185993,43231,31
32948,23078,327
114403,36826,376
81621,23848,309
153172,44223,12
148006,39404,402
130957,45206,321
34153,8920,295
33379,20131,332
58202,37389,249
52576,31986,36
64198,7109,29
122275,8276,261
44641,44730,270
94820,41127,217
21255,25539,123
134551,17915,456
71874,20927,390
61489,3401,283
174893,36935,138
47210,17467,444
114080,21370,469
108482,46974,199
188599,38173,480
146872,45634,181
68012,38203,330
143440,43814,443
153313,16638,11
103206,15370,232
133308,6644,161
52029,15684,345
23637,44577,118
50467,21825,117
179713,32771,498
121948,23682,283
23119,8002,335
122387,29037,114
130507,47458,186
175931,30015,160
175917,17853,83
79399,8702,144
189492,48649,395
111356,13115,491
185522,11532,41
194487,40504,153
5461,20419,451
43341,13294,43
111448,35392,101
31956,46836,441
111490,27444,294
69289,15866,48
74254,18864,377
190829,9859,49
47620,31507,304
187478,43962,114
67402,44360,280
189149,38552,266
170184,24039,451
73508,35928,353
102149,4916,178
182042,22370,481
77628,4298,132
177999,16101,368
34524,43914,442
90819,10848,482
192893,35091,472
73931,38609,483
175992,48955,270
52280,18399,196
125637,16657,258
29226,22035,368
179551,38517,396
198594,26502,149
178160,43722,309
49772,1390,172
166378,48163,152
6521,29556,167
23313,20324,454
168922,45099,462
37087,40637,207
83559,1552,70
174828,36872,477
45773,44714,213
8950,45388,47
159392,46158,384
95922,7812,171
96933,1470,317
3863,6961,316
88476,44115,84
25849,28702,475
81237,43412,107
187874,41307,367
63096,9068,301
91648,17737,253
182453,12830,126
3901,43427,403
60933,47273,498
123437,3094,212
39272,49949,500
29115,1356,29
163879,16478,171
75738,34997,411
41704,1909,129
180209,36577,200
14073,25105,186
78565,13567,197
132566,19835,192
22604,31209,49
156806,38361,409
50226,27996,456
183090,48516,27
81903,17918,143
138491,22434,410
20547,42179,106
2693,12447,428
97073,48069,413
19060,28029,372
185789,13921,459
135282,39366,179
153098,14401,332
174947,11756,156
111405,1739,217
180157,23199,314
16893,20970,220
43831,47971,236
55796,42043,266
169936,21366,432
174829,18,104
154058,20209,174
61613,33914,285
31926,23438,164
43496,26119,426
162696,17788,450
163530,48177,13
24508,42501,10
144719,10246,55
38369,35171,163
40000,42169,186
156840,20500,284
18315,41536,181
111403,16588,416
114311,36998,258
3325,48262,16
195939,11283,297
154481,31398,32
99407,9889,144
156660,9410,482
152873,46034,390
40265,36607,424
99134,47327,261
189293,3747,85
81998,44837,366
178448,44713,488
19969,33304,365
14235,15707,98
171188,17007,299
91024,18053,202
108297,11421,107
145630,38275,272
89714,12661,18
123721,3973,292
198313,35638,320
172399,48812,304
97809,34041,16
67013,49988,338
99521,44932,12
72939,35348,43
58495,15512,231
7396,45878,183
28705,5452,90
81963,6259,429
164283,47479,357
7833,6385,37
117486,34142,436
167463,1035,320
133360,23942,468
49177,5649,330
121814,42268,497
14100,11851,259
55713,31371,397
63571,5609,383
198318,8384,22
181529,19895,74
18172,15012,468
81684,47107,302
22554,33949,389
82151,20840,397
43574,33283,253
18957,48685,342
29209,11437,59
78614,16064,300
45272,26996,350
21645,30372,152
142876,36025,447
94449,39658,458
1191,2481,101
183072,48044,285
21363,28025,132
141337,11225,399
