DockID,DockManagerID,PortID,Status,Capacity,Location
1,56,1,Inspection,3988 million,"Los Angeles, CA"
2,57,1,Overcrowded,2767 million,"Los Angeles, CA"
3,58,1,Overcrowded,1939 million,"Los Angeles, CA"
4,59,1,Unloading,3550 million,"Los Angeles, CA"
5,60,1,Available,2574 million,"Los Angeles, CA"
6,61,1,Under Maintenance,3205 million,"Los Angeles, CA"
7,62,1,Inspection,3633 million,"Los Angeles, CA"
8,63,1,Emergency Use,1504 million,"Los Angeles, CA"
9,64,1,Inspection,3678 million,"Los Angeles, CA"
10,65,1,Closed,3635 million,"Los Angeles, CA"
11,66,1,Reserved,2136 million,"Los Angeles, CA"
12,67,1,Available,2237 million,"Los Angeles, CA"
13,68,2,Overcrowded,4608 million,"Long Beach, CA"
14,69,2,Inspection,4441 million,"Long Beach, CA"
15,70,2,Overcrowded,4065 million,"Long Beach, CA"
16,71,2,Emergency Use,2773 million,"Long Beach, CA"
17,72,2,Available,3840 million,"Long Beach, CA"
18,73,2,Unloading,2403 million,"Long Beach, CA"
19,74,2,Overcrowded,2479 million,"Long Beach, CA"
20,75,3,Idle,3332 million,"New York and New Jersey, NY/NJ"
21,76,3,Closed,4785 million,"New York and New Jersey, NY/NJ"
22,77,3,Inspection,3123 million,"New York and New Jersey, NY/NJ"
23,78,3,Idle,3826 million,"New York and New Jersey, NY/NJ"
24,79,3,Available,1725 million,"New York and New Jersey, NY/NJ"
25,80,3,Occupied,2067 million,"New York and New Jersey, NY/NJ"
26,81,3,Overcrowded,3526 million,"New York and New Jersey, NY/NJ"
27,82,3,Closed,4554 million,"New York and New Jersey, NY/NJ"
28,83,3,Available,3015 million,"New York and New Jersey, NY/NJ"
29,84,3,Available,3289 million,"New York and New Jersey, NY/NJ"
30,85,3,Occupied,1453 million,"New York and New Jersey, NY/NJ"
31,86,3,Loading,1120 million,"New York and New Jersey, NY/NJ"
32,87,3,Under Maintenance,2904 million,"New York and New Jersey, NY/NJ"
33,88,3,Closed,4314 million,"New York and New Jersey, NY/NJ"
34,89,3,Overcrowded,2276 million,"New York and New Jersey, NY/NJ"
