ShipID,DockID,ArrivalDate,DepartureDate
7871,174,2024-10-01,2024-10-31
1094,66,2021-10-28,2024-08-26
3854,141,2024-02-12,2024-12-15
4176,26,2023-11-10,2024-03-25
7321,66,2023-03-21,2023-12-07
1631,8,2020-10-30,2024-03-11
4110,150,2022-08-29,2024-12-31
7753,29,2024-11-27,2024-12-28
9494,117,2023-12-29,2024-08-20
3772,154,2020-10-26,2022-01-09
8389,71,2021-04-18,2021-09-19
7775,87,2020-08-15,2020-09-01
8245,162,2022-06-18,2024-10-07
388,109,2020-07-22,2022-10-06
7851,184,2020-08-09,2022-09-05
837,143,2024-01-08,2024-01-19
8389,104,2021-05-27,2023-05-05
6955,34,2021-01-29,2023-07-30
5560,146,2024-12-09,2024-12-15
2563,144,2020-06-19,2021-04-23
5937,186,2023-07-19,2024-10-27
7119,16,2024-06-18,2024-07-10
1926,47,2022-09-23,2023-05-30
8157,109,2020-12-24,2023-02-11
7144,4,2021-12-23,2024-11-27
9585,77,2024-05-18,2024-09-06
876,87,2023-12-23,2024-09-07
4689,69,2022-05-24,2024-11-01
5584,50,2020-11-10,2021-10-02
2903,120,2021-09-25,2022-08-19
6095,129,2023-11-12,2024-11-30
856,42,2021-11-10,2023-06-23
9886,10,2024-12-15,2024-12-15
8401,24,2022-09-26,2024-02-11
9762,197,2024-01-26,2024-11-13
6996,144,2022-09-29,2023-12-02
5254,57,2023-12-27,2024-03-13
6334,38,2021-10-07,2024-04-05
1542,6,2023-02-15,2023-05-05
3910,108,2024-10-12,2024-12-30
4994,56,2024-03-07,2024-05-14
3427,123,2020-09-06,2021-02-02
2374,16,2023-01-30,2023-07-11
8199,48,2024-07-20,2024-09-04
2947,63,2020-06-15,2022-05-29
2130,60,2021-03-05,2024-01-29
7643,97,2020-10-31,2023-11-14
6839,100,2023-03-03,2024-11-07
9401,199,2020-02-29,2021-03-01
3039,5,2023-01-18,2023-02-28
6662,59,2022-03-22,2024-09-19
6179,72,2024-09-10,2024-10-15
1559,92,2024-03-28,2024-09-20
8026,26,2021-09-04,2024-08-16
9756,33,2021-11-23,2023-10-23
9236,126,2023-01-09,2024-07-25
5126,105,2024-09-06,2024-12-13
6534,47,2022-05-01,2022-11-02
8250,43,2022-06-07,2023-06-21
1779,44,2024-08-24,2024-11-02
8649,82,2024-03-09,2024-11-27
7240,174,2023-01-04,2023-04-01
2656,78,2021-07-14,2024-08-10
5997,140,2021-03-22,2024-12-30
9810,149,2020-09-08,2021-08-09
1374,60,2020-12-16,2024-07-12
9819,160,2023-08-17,2024-05-05
5708,32,2021-02-01,2022-11-06
8867,93,2021-05-07,2022-01-13
9669,22,2021-12-21,2024-10-28
1560,111,2021-06-16,2024-10-21
7208,109,2024-09-22,2024-11-27
7154,111,2024-02-12,2024-07-20
801,60,2021-03-26,2022-01-02
1573,59,2020-02-02,2023-09-23
1533,183,2022-08-28,2023-06-17
8152,65,2020-09-21,2023-06-17
5087,200,2020-09-07,2023-09-14
8118,50,2021-07-14,2024-03-08
1236,108,2022-10-09,2024-07-08
7766,168,2024-11-27,2024-12-22
440,116,2020-11-17,2022-07-16
1803,6,2023-03-29,2024-03-06
2714,53,2024-08-26,2024-10-13
9574,190,2024-06-25,2024-10-23
76,103,2020-06-27,2021-08-20
6794,48,2021-04-27,2024-12-19
1307,174,2022-12-20,2024-03-31
7383,144,2024-09-06,2024-12-04
2029,84,2022-12-19,2024-07-26
8365,187,2020-11-13,2023-02-05
9190,58,2021-08-21,2022-04-18
4754,87,2020-03-07,2023-06-24
671,153,2021-09-26,2021-10-13
4973,183,2021-05-28,2022-08-03
5503,64,2024-03-09,2024-11-21
6576,29,2023-07-04,2024-08-15
7073,124,2020-09-06,2023-06-30
9780,43,2023-02-17,2023-07-05
787,192,2023-02-17,2024-09-30
191,125,2024-11-24,2024-12-20
988,21,2021-07-24,2022-10-16
7407,10,2024-12-03,2024-12-18
2191,79,2020-10-21,2021-06-12
588,135,2022-09-08,2023-01-13
9235,24,2020-05-23,2024-05-16
3196,185,2020-01-01,2021-01-10
3138,101,2024-11-18,2024-12-07
7991,148,2020-02-20,2020-12-14
5166,90,2021-07-24,2024-09-15
2745,27,2020-02-20,2020-07-04
2720,65,2023-11-11,2024-07-30
1487,200,2022-11-11,2023-09-11
450,2,2021-08-09,2022-10-14
833,95,2024-01-03,2024-08-15
2762,172,2023-11-04,2023-12-08
4668,61,2023-06-21,2024-05-08
7790,52,2023-03-18,2023-09-01
1214,102,2020-05-30,2021-11-08
9984,63,2021-08-17,2023-11-18
9243,148,2022-07-18,2022-11-18
4758,23,2022-03-09,2024-08-31
6845,129,2023-10-20,2024-01-23
8979,134,2023-10-10,2024-03-07
8505,7,2022-02-06,2024-11-14
4857,130,2023-08-10,2024-01-11
2672,6,2021-12-02,2022-12-02
6651,146,2021-05-22,2022-09-13
616,43,2021-10-14,2022-08-14
9097,2,2022-06-23,2023-05-29
5895,74,2022-09-18,2024-07-18
8286,41,2022-08-04,2023-12-21
874,65,2024-06-16,2024-11-25
