GoodsID,Name,Weight,Quantity,Category,Price
1,Lamp,481,6400,Stationery,265
2,TV,460,22666,Toys,571
3,Headphones,125,8607,Fashion,482
4,Coffee Maker,85,46404,Books,335
5,Coffee Maker,165,16222,Health,1603
6,Watch,214,41797,Vehicle,1149
7,Bike,447,42656,Toys,577
8,Headphones,192,102,Food,902
9,Watch,284,32235,Vehicle,1655
10,Earbuds,418,27151,Food,108
11,Coffee Maker,156,35701,Home Appliances,1646
12,Vacuum Cleaner,184,10395,Stationery,1267
13,Mask,203,31362,Electronics,1149
14,Monitor,342,21614,Health,1167
15,Gaming Mouse,282,27310,Home Appliances,1864
16,Blender,159,8823,Health,1126
17,Gaming Mouse,167,48030,Home Appliances,312
18,Oven,326,23221,Stationery,667
19,Charger,112,24794,Cosmetics,878
20,Smartwatch,292,12927,Electronics,375
21,Shirt,117,49459,Home Appliances,719
22,Water Filter,437,42681,Vehicle,1437
23,Sneakers,364,32235,Fashion,869
24,Gaming Mouse,167,35535,Stationery,1071
25,Gaming Mouse,450,11398,Sports Equipment,834
26,Gaming Mouse,117,31806,Home Appliances,652
27,Lamp,70,38310,Books,57
28,Speaker,354,43956,Home Appliances,176
29,TV,439,693,Vehicle,851
30,Lamp,489,33609,Books,392
31,Earbuds,220,1097,Health,667
32,Water Filter,270,3864,Books,1333
33,Oven,159,36384,Books,1211
34,Coffee Maker,226,13456,Sports Equipment,1079
35,Shirt,387,45117,Home Appliances,1267
36,Speaker,117,47163,Fashion,662
37,Blender,353,38605,Stationery,1324
38,Headphones,259,8644,Home Appliances,1436
39,Blender,117,35259,Sports Equipment,280
40,Kettle,259,1696,Stationery,154
41,Coffee Maker,396,18622,Health,999
42,Coffee Maker,346,36665,Vehicle,579
43,Oven,343,32173,Food,237
44,Gaming Mouse,391,18366,Health,1766
45,Lamp,186,43625,Stationery,791
46,Coffee Maker,354,48179,Vehicle,1605
47,Sneakers,456,19352,Home Appliances,396
48,Monitor,348,40528,Food,699
49,TV,226,28764,Toys,465
50,Sneakers,391,11890,Home Appliances,1600
51,Air Purifier,263,12065,Books,605
52,Charger,53,38310,Food,659
53,Smartwatch,265,2788,Electronics,370
54,Gaming Mouse,243,9490,Electronics,163
55,Monitor,493,7456,Cosmetics,1060
56,Shirt,312,44136,Toys,315
