InvoiceID,GoodsID,Quantity
205034,5644,49
59473,43204,52
195936,48729,26
162492,37153,85
432352,11518,99
148911,32185,28
139163,35502,58
154208,7667,56
5975,31127,96
417899,5289,4
147515,5512,57
414578,8009,94
11462,48027,90
20566,35445,24
472284,12161,56
70158,14102,64
233449,8741,8
222239,4777,13
451334,43645,13
139189,8321,62
182576,13118,72
50445,11283,64
431640,32431,43
89186,38474,46
332183,46836,53
225857,44786,92
139259,31172,60
416763,49575,74
2721,7145,61
48362,39546,47
434339,44469,40
16891,31887,81
201706,15976,38
197096,5179,14
241623,4612,33
443989,32903,18
5809,5075,44
340193,48646,74
261782,1594,51
431421,15703,11
285969,22396,44
485084,43291,60
287260,49558,59
26169,1262,52
153935,48892,85
405144,45645,22
93356,20106,64
83616,14317,59
275244,10704,30
284368,12449,36
269577,40875,43
122187,13618,27
25840,21392,21
474044,8274,81
214450,19126,6
406347,20845,89
196782,41946,92
248055,39733,1
83669,37869,98
181343,30466,60
476236,7810,68
372953,37017,4
243296,9862,40
57491,36363,16
260162,25323,63
340098,32797,20
490995,14172,75
71446,36041,30
309389,211,34
322111,9825,36
146410,31870,90
207011,22520,40
33033,42140,28
418242,30290,56
420754,46104,4
118794,50,24
164335,18029,26
143570,33131,60
230732,8944,93
356482,15595,53
78574,14486,29
428447,33941,8
267097,26884,84
127793,2328,56
50850,14092,34
174970,3492,43
19439,3240,67
493222,38355,39
193797,11127,7
29345,16285,73
425214,8003,87
238874,28307,28
179677,27587,29
477016,18289,41
444926,10818,18
276779,16759,56
66130,21646,54
279043,25335,68
419373,23013,28
482628,27235,94
64250,14237,57
61038,44496,58
229579,4915,51
129573,45494,48
260217,26680,32
357980,43605,69
458759,37990,47
197870,1950,81
40242,15550,64
36615,14640,83
103590,9267,76
28378,44485,95
79054,35344,1
223592,46343,35
332615,6091,66
168286,40868,68
91,39826,49
309779,46749,85
187664,15414,64
400306,20063,52
39247,25795,65
393402,2998,15
283209,49613,50
129594,35035,20
119725,18611,57
493033,49509,23
13447,20469,53
129976,45148,24
2204,47852,33
32647,7447,40
451045,40632,69
29956,11593,63
98810,34831,49
79899,19972,42
25450,46394,28
91226,22189,49
279846,15891,70
129631,43064,19
200203,46998,38
239927,36524,83
439169,38365,1
53611,44766,34
347762,36637,32
235955,24896,15
285295,41849,59
258892,7997,65
293189,16775,85
88477,17580,30
46403,8142,61
454840,9090,18
155734,32328,60
222690,28180,26
421474,41859,72
397323,26094,72
440792,45957,53
421223,26908,9
476525,19764,24
144864,20609,36
175857,46735,79
154494,24909,39
285795,40233,92
127294,1911,58
324610,1262,81
490706,17924,90
345534,16728,80
383093,30675,89
302057,37189,26
240712,31512,49
458754,25880,20
198698,3028,100
73147,33388,88
85354,34773,45
61165,11336,18
429436,39386,55
5452,28786,96
36369,15330,21
263000,28720,13
372247,43217,53
459700,41686,48
426394,6712,26
197177,8982,44
69914,40249,99
162583,31862,96
327403,21869,84
273665,42703,47
270896,5830,78
355154,32387,93
139601,48337,12
2701,36327,51
310299,39672,82
429412,21440,31
380154,15917,31
188298,39728,100
49361,29889,97
210217,41282,92
471688,39979,76
268243,13751,70
297369,49767,76
61529,34859,96
434497,4990,94
159335,18571,28
211963,3622,16
389737,4685,100
93170,7495,95
192801,31156,91
6320,26064,12
101019,31397,21
353350,2696,28
282262,34980,78
495146,22068,22
260548,36399,39
67143,20143,13
267266,39549,58
305529,44309,14
154485,42197,93
274883,24491,100
51912,17323,24
160246,12613,45
431020,25869,78
319305,26766,25
216685,8461,4
66241,39428,7
463132,14938,52
229925,35817,80
440696,6786,31
349556,18852,21
205814,44962,29
498186,32954,9
175685,1258,37
70366,27121,2
405759,29815,47
158931,11665,88
177659,26984,24
236457,32638,23
344037,46681,89
226104,14037,100
226767,6904,83
126033,34057,36
346535,17686,90
115692,31424,88
324753,9803,47
414701,14327,57
204157,6625,18
415968,23891,94
46328,28707,66
82409,40685,41
208767,27928,47
157374,14059,57
119243,49821,77
