TaskID,TaskName,Description,StartDate,EndDate,Status
1,Manage Port,Manage Porting containers for damage,,,
2,Manage Warehouse,Manage Warehousing containers for damage,,,
3,Mange Dock,Manage Docking containers for damage,,,
4,Ensure Proper Stowage,Ensure proper stowage of containers.,2024-01-28,2024-02-25,Complete
5,Manage Ship Departure,Manage ship departure logistics.,2023-02-22,2023-03-24,In Progress
6,Supervise Dock Workers,Supervise dock workers.,2023-05-04,2024-05-05,In Progress
7,Coordinate with Customs,Coordinate with customs officers.,2023-04-29,2024-12-13,In Progress
8,Load Cargo,Load cargo onto ships.,2021-08-13,2024-12-01,Complete
9,Supervise Dock Workers,Supervise dock workers.,2023-01-17,2023-12-27,Complete
10,Manage Berth Allocation,Manage berth allocation.,2024-01-14,2024-10-18,Complete
11,Ensure Compliance,Ensure compliance with port regulations.,2024-05-27,2024-09-08,In Progress
12,Manage Berth Allocation,Manage berth allocation.,2024-04-11,2024-06-14,Empty
13,Handle Security,Handle port security procedures.,2021-12-27,2022-06-25,Complete
14,Assist with Cargo Consolidation,Assist with cargo consolidation.,2020-04-22,2024-06-27,Complete
15,Ensure Proper Stowage,Ensure proper stowage of containers.,2021-09-29,2024-09-21,In Progress
16,Supervise Container Storage,Supervise container storage.,2021-12-02,2023-07-31,Complete
17,Operate Cranes,Operate cranes and other port equipment.,2021-02-04,2024-10-09,In Progress
18,Check Vessel Schedules,Check vessel arrival schedules.,2022-10-18,2022-12-24,In Progress
19,Coordinate Safety Drills,Coordinate port safety drills.,2024-04-18,2024-12-31,Complete
20,Ensure Environmental Compliance,Ensure environmental compliance at the port.,2023-01-23,2023-07-23,In Progress
21,Operate Cranes,Operate cranes and other port equipment.,2022-03-10,2024-12-05,Empty
22,Inspect Containers,Inspect containers for damage.,2024-05-04,2024-08-09,In Progress
23,Assist with Cargo Consolidation,Assist with cargo consolidation.,2022-01-03,2024-04-22,Empty
24,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2020-02-02,2020-09-14,Empty
25,Check Vessel Schedules,Check vessel arrival schedules.,2021-06-19,2024-09-23,Empty
26,Ensure Proper Stowage,Ensure proper stowage of containers.,2024-06-03,2024-08-24,Empty
27,Track Shipping Docs,Track shipping documents.,2022-03-09,2022-07-28,Complete
28,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2024-05-26,2024-12-05,In Progress
29,Handle Customs Clearance,Handle port customs clearance.,2022-12-23,2023-02-26,Empty
30,Unload Cargo,Unload cargo from ships.,2022-12-18,2023-06-01,Complete
31,Load Cargo,Load cargo onto ships.,2024-01-01,2024-07-03,Complete
32,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2024-07-23,2024-11-11,In Progress
33,Monitor Loading Progress,Monitor vessel loading progress.,2024-07-14,2024-07-27,Complete
34,Supervise Container Storage,Supervise container storage.,2024-11-09,2024-11-29,Empty
35,Coordinate Shipping,Coordinate with shipping companies.,2020-12-22,2023-10-25,Complete
36,Handle Security,Handle port security procedures.,2024-05-09,2024-09-24,In Progress
37,Manage Ship Departure,Manage ship departure logistics.,2022-10-15,2023-06-30,Complete
38,Supervise Loading Process,Supervise the loading and unloading process.,2020-11-25,2024-09-23,In Progress
39,Supervise Turnaround Times,Supervise vessel turnaround times.,2024-12-29,2024-12-29,Complete
40,Check Vessel Schedules,Check vessel arrival schedules.,2024-08-02,2024-09-14,Complete
41,Plan Docking Schedules,Plan ship docking schedules.,2022-10-27,2023-08-18,In Progress
42,Supervise Container Storage,Supervise container storage.,2021-09-29,2022-11-17,Empty
43,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2021-04-28,2021-05-06,In Progress
44,Load Cargo,Load cargo onto ships.,2021-05-20,2024-03-07,Complete
45,Monitor Loading Progress,Monitor vessel loading progress.,2024-01-29,2024-03-12,Complete
46,Handle Security,Handle port security procedures.,2023-03-14,2024-08-06,In Progress
47,Manage Ship Departure,Manage ship departure logistics.,2021-08-12,2022-12-28,Complete
48,Operate Cranes,Operate cranes and other port equipment.,2023-08-04,2023-12-16,In Progress
49,Handle Billing,Handle port billing and invoicing.,2023-06-01,2023-06-08,Complete
50,Monitor Cargo Inventory,Monitor cargo inventory.,2023-09-28,2024-10-20,In Progress
51,Plan Docking Schedules,Plan ship docking schedules.,2022-05-16,2024-11-11,In Progress
52,Plan Docking Schedules,Plan ship docking schedules.,2022-02-17,2023-01-07,Empty
53,Supervise Container Storage,Supervise container storage.,2020-03-26,2021-03-14,Empty
54,Unload Cargo,Unload cargo from ships.,2020-11-08,2021-11-30,Complete
55,Supervise Dock Workers,Supervise dock workers.,2021-05-23,2022-04-27,Empty
56,Track Shipping Docs,Track shipping documents.,2020-10-16,2021-11-13,Complete
57,Operate Cranes,Operate cranes and other port equipment.,2022-11-02,2024-10-19,In Progress
58,Handle Security,Handle port security procedures.,2024-05-24,2024-05-25,In Progress
59,Monitor Cargo Inventory,Monitor cargo inventory.,2020-03-23,2023-11-27,In Progress
60,Assist with Cargo Consolidation,Assist with cargo consolidation.,2022-04-08,2023-12-07,In Progress
61,Monitor Cargo Inventory,Monitor cargo inventory.,2022-03-31,2023-05-29,Complete
62,Check Vessel Schedules,Check vessel arrival schedules.,2020-10-26,2024-06-02,Empty
63,Coordinate Safety Drills,Coordinate port safety drills.,2021-05-08,2022-08-07,Empty
64,Supervise Dock Workers,Supervise dock workers.,2022-03-06,2023-05-18,Empty
65,Prepare Performance Reports,Prepare port performance reports.,2021-03-15,2024-03-31,Empty
66,Monitor Container Movement,Monitor container movements.,2021-04-15,2024-06-18,Empty
67,Track Shipping Docs,Track shipping documents.,2021-08-13,2024-04-19,In Progress
68,Coordinate with Customs,Coordinate with customs officers.,2022-12-25,2023-12-05,Empty
69,Ensure Safe Unloading,Ensure safe unloading operations.,2020-04-15,2020-07-04,Empty
70,Plan Docking Schedules,Plan ship docking schedules.,2024-03-29,2024-10-23,Complete
71,Load Cargo,Load cargo onto ships.,2022-11-15,2024-06-14,Empty
72,Plan Docking Schedules,Plan ship docking schedules.,2023-10-29,2023-11-18,Empty
73,Document Shipments,Ensure proper documentation for shipments.,2023-05-13,2024-09-21,In Progress
74,Supervise Loading Process,Supervise the loading and unloading process.,2023-03-06,2023-11-14,In Progress
75,Monitor Container Movement,Monitor container movements.,2022-10-25,2023-11-14,Empty
76,Operate Cranes,Operate cranes and other port equipment.,2021-12-09,2023-10-11,Empty
77,Track Container Locations,Track container locations on-site.,2024-03-20,2024-12-02,Complete
78,Inspect Incoming Shipments,Inspect incoming shipments for compliance.,2021-07-29,2022-10-02,Complete
79,Load Cargo,Load cargo onto ships.,2022-12-05,2024-10-14,Complete
80,Handle Billing,Handle port billing and invoicing.,2020-03-11,2020-09-08,Complete
81,Coordinate Shipping,Coordinate with shipping companies.,2021-09-03,2021-12-13,In Progress
82,Handle Security,Handle port security procedures.,2024-10-30,2024-12-16,Complete
83,Track Shipping Docs,Track shipping documents.,2023-05-28,2023-07-29,Complete
84,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2024-06-03,2024-11-22,Complete
85,Check Vessel Schedules,Check vessel arrival schedules.,2020-11-16,2022-07-14,In Progress
86,Handle Customs Clearance,Handle port customs clearance.,2021-07-09,2021-11-17,In Progress
87,Manage Ship Departure,Manage ship departure logistics.,2021-09-05,2023-09-06,In Progress
88,Ensure Proper Stowage,Ensure proper stowage of containers.,2020-11-24,2021-10-26,Empty
89,Document Shipments,Ensure proper documentation for shipments.,2021-06-07,2021-09-07,Empty
90,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2020-10-08,2021-01-02,In Progress
91,Manage Ship Departure,Manage ship departure logistics.,2021-08-30,2023-07-18,In Progress
92,Handle Security,Handle port security procedures.,2020-08-12,2024-01-11,In Progress
93,Supervise Cargo Sorting,Supervise cargo sorting and storage.,2024-06-09,2024-10-20,Empty
94,Coordinate Trucking Deliveries,Coordinate with trucking companies for deliveries.,2023-11-17,2024-03-06,In Progress
95,Oversee Cargo Inspections,Oversee cargo inspections.,2021-08-20,2023-03-24,Complete
96,Handle Hazardous Materials,Ensure safe handling of hazardous materials.,2023-02-22,2023-05-01,In Progress
97,Ensure Proper Stowage,Ensure proper stowage of containers.,2021-06-23,2023-11-19,In Progress
98,Handle Customs Clearance,Handle port customs clearance.,2020-02-17,2023-02-24,Complete
99,Coordinate Shipping,Coordinate with shipping companies.,2022-04-10,2024-06-30,Empty
100,Coordinate Safety Drills,Coordinate port safety drills.,2021-12-02,2023-02-22,Complete
101,Ensure Safe Unloading,Ensure safe unloading operations.,2021-06-29,2024-10-20,In Progress
102,Supervise Loading Process,Supervise the loading and unloading process.,2021-11-01,2024-07-13,Complete
